citation,term,chief,case_name,lean,maj_votes,min_votes,issue,issue_description
139 U.S. 19,1890,Fuller,"ST. PAUL, MINNEAPOLIS AND MANITOBA RAILWAY COMPANY v. GREENALGH",liberal,9,0,80105,"state and territorial land claims
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 197,1890,Fuller,CALLAN v. BRANSFORD.,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 216,1890,Fuller,NORTHWESTERN FUEL COMPANY v. BROCK,liberal,9,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 222,1890,Fuller,BRITISH QUEEN MINING COMPANY v. BAKER SILVER MINING COMPANY,liberal,9,0,90180,"no merits: adequate non-federal grounds for decision
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 223,1890,Fuller,"ST. LOUIS, IRON MOUNTAIN AND SOUTHERN RAILWAY COMPANY v. COMMERCIAL UNION INSURANCE COMPANY",conservative,8,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
139 U.S. 23,1890,Fuller,"THE ST. PAUL, MINNEAPOLIS & MANITOBA RAILWAY COMPANY v. WENZEL",liberal,9,0,80105,"state and territorial land claims
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 240,1890,Fuller,MANCHESTER v. MASSACHUSETTS,conservative,9,0,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.
139 U.S. 266,1890,Fuller,ETHERIDGE v. SPERRY,liberal,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 278,1890,Fuller,UNITED STATES v. BREWER,conservative,9,0,90430,"judicial administration: certification (cf. objection to reason for denial of certiorari or appeal)
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 288,1890,Fuller,"EAST TENNESSEE, VIRGINIA AND GEORGIA RAILWAY COMPANY v. FRAZIER",conservative,9,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 293,1890,Fuller,WALTER A. WOOD MOWING AND REAPING MACHINE COMPANY v. SKINNER,conservative,9,0,90180,"no merits: adequate non-federal grounds for decision
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 297,1890,Fuller,MUTUAL RESERVE FUND LIFE ASSOCIATION v. HAMLIN,liberal,9,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
139 U.S. 306,1890,Fuller,UNITED STATES EX REL. BOYNTON v. BLAINE,conservative,9,0,90420,"judicial administration: extraordinary relief (e.g., mandamus, injunction)
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 326,1890,Fuller,HOFF v. IRON CLAD MANUFACTURING COMPANY,liberal,9,0,80180,patents and copyrights: patent
139 U.S. 331,1890,Fuller,THE SYDNEY,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 337,1890,Fuller,WORTHINGTON v. ROBBINS,conservative,9,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
139 U.S. 342,1890,Fuller,PEAKE v. NEW ORLEANS,conservative,5,3,80060,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action."
139 U.S. 378,1890,Fuller,TIMMONS v. ELYTON LAND COMPANY,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 380,1890,Fuller,UNDERWOOD v. DUGAN,conservative,9,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 385,1890,Fuller,DOLAN v. JENNINGS.,conservative,9,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 438,1890,Fuller,TALBOTT v. SILVER BOW COUNTY,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 449,1890,Fuller,"in re DUNCAN, PETITIONER",conservative,9,0,10020,habeas corpus
139 U.S. 462,1890,Fuller,LEEPER v. TEXAS,conservative,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 469,1890,Fuller,"DELAWARE, LACKAWANNA AND WESTERN RAILROAD COMPANY v. CONVERSE",liberal,9,0,80040,sufficiency of evidence: typically in the context of a jury's determination of compensation for injury or death
139 U.S. 478,1890,Fuller,SNYDER v. FIEDLER,conservative,9,0,10130,"cruel and unusual punishment, death penalty (cf. extra legal jury influence, death penalty)"
139 U.S. 481,1890,Fuller,ELECTRIC GAS-LIGHTING COMPANY v. BOSTON ELECTRIC COMPANY,liberal,9,0,80180,patents and copyrights: patent
139 U.S. 503,1890,Fuller,ELECTRIC GAS-LIGHTING COMPANY v. TILLOTSON,liberal,9,0,80180,patents and copyrights: patent
139 U.S. 504,1890,Fuller,"in re MANNING, PETITIONER",conservative,9,0,10370,"Federal Rules of Criminal Procedure
Note: including application of the Federal Rules of Evidence in criminal proceedings and criminal rules of a court of appeals or state supreme court"
139 U.S. 530,1890,Fuller,UNION EDGE SETTER COMPANY v. KEITH,liberal,9,0,80180,patents and copyrights: patent
139 U.S. 540,1890,Fuller,BROWN CHEMICAL COMPANY v. MEYER,liberal,9,0,80200,patents and copyrights: trademark
139 U.S. 548,1890,Fuller,"in re INGALLS, PETITIONER",conservative,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 549,1890,Fuller,FOWLER v. HAMILL,conservative,9,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 551,1890,Fuller,INLAND AND SEABOARD COASTING COMPANY v. TOLSON,liberal,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
139 U.S. 560,1890,Fuller,"SELMA, ROME AND DALTON RAILROAD COMPANY v. UNITED STATES",liberal,9,0,80220,federal or state regulation of transportation regulation: railroad
139 U.S. 569,1890,Fuller,INTERSTATE LAND COMPANY v. MAXWELL LAND GRANT COMPANY,liberal,9,0,80105,"state and territorial land claims
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 591,1890,Fuller,SHELTON v. PLATT,liberal,8,1,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 601,1890,Fuller,WESTERN ELECTRIC COMPANY v. LARUE,conservative,9,0,80180,patents and copyrights: patent
139 U.S. 608,1890,Fuller,SEEBERGER v. FARWELL,conservative,7,2,120020,"federal taxation of gifts, personal, business, or professional expenses"
139 U.S. 612,1890,Fuller,MAGONE v. LUCKEMEYER,conservative,7,2,120020,"federal taxation of gifts, personal, business, or professional expenses"
139 U.S. 616,1890,Fuller,WILSON v. EVERETT,liberal,9,0,10220,extra-legal jury influences: jury instructions (not necessarily in criminal cases)
139 U.S. 62,1890,Fuller,PULLMAN'S PALACE CAR COMPANY v. CENTRAL TRANSPORTATION COMPANY,conservative,8,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 621,1890,Fuller,NATAL v. LOUISIANA,liberal,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
139 U.S. 624,1890,Fuller,MASON v. ROBERTSON,conservative,9,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
139 U.S. 628,1890,Fuller,BOCK v. PERKINS,liberal,9,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
139 U.S. 642,1890,Fuller,SANFORD v. SANFORD,liberal,9,0,100030,federal pre-emption of state legislation or regulation. cf. state regulation of business. rarely involves union activity. Does not involve constitutional interpretation unless the Court says it does.
139 U.S. 651,1890,Fuller,DAVIS v. TEXAS,conservative,9,0,90160,"no merits: dismissed or affirmed for want of a substantial or properly presented federal question, or a nonsuit 
Note: use only if the syllabus or the summary holding specifies one of the following bases."
139 U.S. 658,1890,Fuller,ALLEN v. PULLMAN'S PALACE CAR COMPANY.,liberal,7,2,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 663,1890,Fuller,BYBEE v. OREGON AND CALIFORNIA RAILROAD COMPANY,liberal,9,0,80105,"state and territorial land claims
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
139 U.S. 67,1890,Fuller,LOGAN COUNTY NATIONAL BANK v. TOWNSEND,liberal,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 684,1890,Fuller,BOONE COUNTY v. BURLINGTON AND MISSOURI RIVER RAILROAD COMPANY,liberal,8,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
139 U.S. 694,1890,Fuller,REDFIELD v. BARTELS,liberal,9,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
139 U.S. 79,1890,Fuller,"CHICAGO, ST. LOUIS AND NEW ORLEANS RAILROAD COMPANY v. PULLMAN SOUTHERN CAR COMPANY",conservative,8,0,80010,antitrust (except in the context of mergers and union antitrust)
139 U.S. 96,1890,Fuller,CLARK v. BEVER,liberal,8,0,100020,"federal pre-emption of state court jurisdiction
Note: almost always found in the context of labor union activity. Does not involve constitutional interpretation. Rests rather on a primary jurisdiction rationale"
140 U.S. 1,1890,Fuller,PENNOYER v. MCCONNAUGHY,liberal,9,0,100120,"national supremacy: miscellaneous
Note: in the context of federal-state conflicts involving the general welfare, supremacy, or interstate commerce clauses, the 11th or 21st Amendments, or the enforcement clause of the 14th Amendment. Distinguishable from federal pre-emption because of a constitutional basis for decision."
140 U.S. 106,1890,Fuller,SCOTT v. NEELY,liberal,8,0,10580,"jury trial (right to, as distinct from extra-legal jury influences)"
140 U.S. 117,1890,Fuller,BIRDSEYE v. SCHAEFFER,conservative,9,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 118,1890,Fuller,BALL v. UNITED STATES,liberal,7,0,10370,"Federal Rules of Criminal Procedure
Note: including application of the Federal Rules of Evidence in criminal proceedings and criminal rules of a court of appeals or state supreme court"
140 U.S. 137,1890,Fuller,MANNING v. AMY,conservative,8,0,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
140 U.S. 142,1890,Fuller,UNITED STATES v. EWING,liberal,9,0,90110,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules"
140 U.S. 151,1890,Fuller,UNITED STATES v. MCDERMOTT.,liberal,9,0,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
140 U.S. 160,1890,Fuller,UNITED STATES v. POINTER,conservative,9,0,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
140 U.S. 164,1890,Fuller,UNITED STATES v. BARBER,liberal,9,0,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
140 U.S. 169,1890,Fuller,UNITED STATES v. VAN DUZEE,liberal,9,0,90110,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules"
140 U.S. 177,1890,Fuller,UNITED STATES v. BARBER,liberal,8,0,90110,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules"
140 U.S. 180,1890,Fuller,CLUETT v. CLAFLIN,liberal,8,0,80180,patents and copyrights: patent
140 U.S. 183,1890,Fuller,CLUETT v. MCNEANY,liberal,8,0,80180,patents and copyrights: patent
140 U.S. 200,1890,Fuller,in re CLAASEN,conservative,8,0,10370,"Federal Rules of Criminal Procedure
Note: including application of the Federal Rules of Evidence in criminal proceedings and criminal rules of a court of appeals or state supreme court"
140 U.S. 213,1890,Fuller,DWIGHT v. MERRITT,liberal,9,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
140 U.S. 234,1890,Fuller,BLOCK v. DARLING,liberal,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 240,1890,Fuller,MULLAN v. UNITED STATES,conservative,9,0,10370,"Federal Rules of Criminal Procedure
Note: including application of the Federal Rules of Evidence in criminal proceedings and criminal rules of a court of appeals or state supreme court"
140 U.S. 273,1890,Fuller,HALSTED v. BUSTER,conservative,7,0,80105,"state and territorial land claims
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
140 U.S. 278,1890,Fuller,"in re WOOD, PETITIONER",conservative,8,0,20040,"desegregation (other than as pertains to school desegregation, employment discrimination, and affirmative action)"
140 U.S. 291,1890,Fuller,"in re SHIBUYA JUGIRO, PETITIONER",conservative,8,0,10020,habeas corpus
140 U.S. 298,1890,Fuller,ROGERS v. DURANT,conservative,9,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 316,1890,Fuller,LENT v. TILLSON,liberal,8,1,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
140 U.S. 334,1890,Fuller,ESSEX PUBLIC ROAD BOARD v. SKINKLE,liberal,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
140 U.S. 360,1890,Fuller,"THE E. A. PACKER, SCULLY CLAIMANT",liberal,9,0,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
140 U.S. 406,1890,Fuller,MITCHELL v. SMALE,liberal,6,3,90090,"comity primarily removal cases, civil procedure (cf. comity, criminal and First Amendment); deference to foreign judicial tribunals
Note: propriety of federal court deference to ongoing state judicial or state or federal quasi-judicial proceedings, the abstention doctrine, exhaustion of state provided remedies"
140 U.S. 41,1890,Fuller,SCOTLAND COUNTY COURT v. UNITED STATES EX REL. HILL,liberal,9,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
140 U.S. 417,1890,Fuller,QUOCK TING v. UNITED STATES,conservative,8,1,20110,deportation (cf. immigration and naturalization)
140 U.S. 424,1890,Fuller,WAN SHING v. UNITED STATES,conservative,9,0,20110,deportation (cf. immigration and naturalization)
140 U.S. 428,1890,Fuller,HIGGINS v. KEUFFEL,liberal,9,0,80200,patents and copyrights: trademark
140 U.S. 435,1890,Fuller,GLEESON v. VIRGINIA MIDLAND RAILROAD COMPANY,liberal,8,1,80070,"liability, other than as in sufficiency of evidence, election of remedies, punitive damages"
140 U.S. 445,1890,Fuller,LEWISBURG BANK v. SHEFFEY,liberal,9,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 453,1890,Fuller,"in re ROSS, PETITIONER",conservative,9,0,10580,"jury trial (right to, as distinct from extra-legal jury influences)"
140 U.S. 48,1890,Fuller,STEVENSON v. BARBOUR,conservative,9,0,90180,"no merits: adequate non-federal grounds for decision
Note: use only if the syllabus or the summary holding specifies one of the following bases."
140 U.S. 481,1890,Fuller,CLARK THREAD COMPANY v. WILLIMANTIC LINEN COMPANY,liberal,9,0,80180,patents and copyrights: patent
140 U.S. 516,1890,Fuller,MARCHAND v. GRIFFON,liberal,7,0,20130,sex discrimination (excluding sex discrimination in employment)
140 U.S. 52,1890,Fuller,HILL v. CHICAGO AND EVANSTON RAILROAD COMPANY,liberal,9,0,90380,"judicial administration: review of non-final order
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 529,1890,Fuller,WILLIAMS v. HEARD,liberal,8,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 545,1890,Fuller,"in re RAHRER, PETITIONER",liberal,9,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
140 U.S. 55,1890,Fuller,INTERNATIONAL TOOTH CROWN COMPANY v. GAYLORD,liberal,8,0,80180,patents and copyrights: patent
140 U.S. 575,1890,Fuller,"in re WILSON, PETITIONER",conservative,9,0,10020,habeas corpus
140 U.S. 586,1890,Fuller,"in re DELGADO, PETITIONER",liberal,8,0,90420,"judicial administration: extraordinary relief (e.g., mandamus, injunction)
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 599,1890,Fuller,UNITED STATES v. DALLES MILITARY ROAD CO.,liberal,9,0,40070,"due process: takings clause, or other non-constitutional governmental taking of property"
140 U.S. 634,1890,Fuller,MARTIN v. BARBOUR,conservative,9,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
140 U.S. 647,1890,Fuller,CHICAGO DISTILLING COMPANY v. STONE,conservative,9,0,120010,"federal taxation, typically under provisions of the Internal Revenue Code
Note: except as pertains to federal taxation of gifts or priority of federal fiscal claims"
140 U.S. 65,1890,Fuller,ILLINOIS GRAND TRUNK RAILWAY COMPANY v. WADE,conservative,8,0,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
140 U.S. 654,1890,Fuller,NEW ORLEANS v. LOUISIANA CONSTRUCTION COMPANY,liberal,7,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
140 U.S. 665,1890,Fuller,THE LATE CORPORATION OF THE CHURCH OF JESUS CHRIST OF LATTER-DAY SAINTS v. UNITED STATES.,conservative,9,0,30160,free exercise of religion
140 U.S. 71,1890,Fuller,HARPER COUNTY COMMISSIONERS v. ROSE,liberal,9,0,90110,"Federal Rules of Civil Procedure including Supreme Court Rules, application of the Federal Rules of Evidence, Federal Rules of Appellate Procedure in civil litigation, Circuit Court Rules, and state rules and admiralty rules"
140 U.S. 76,1890,Fuller,AETNA LIFE INSURANCE COMPANY v. WARD,liberal,9,0,10220,extra-legal jury influences: jury instructions (not necessarily in criminal cases)
140 U.S. 91,1890,Fuller,in re WASHINGTON AND GEORGETOWN RAILROAD COMPANY,liberal,8,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 1,1890,Fuller,in re GARNETT AND OTHERS,liberal,9,0,80230,federal and some few state regulations of transportation regulation: boat
141 U.S. 107,1890,Fuller,EVANS v. STATE BAN,liberal,9,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 117,1890,Fuller,REYNOLDS v. BURNS,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
141 U.S. 121,1890,Fuller,DENNY v. PIRONI,conservative,9,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 127,1890,Fuller,ST. LOUIS AND SAN FRANCISCO RAILWAY COMPANY v. MCBRID,liberal,9,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 174,1890,Fuller,MCALLISTER v. UNITED STATES,liberal,6,3,130015,"executive authority vis-a-vis congress or the states
Note: prior to 2014 Release 01, id = 100035"
141 U.S. 18,1890,Fuller,PULLMAN'S PALACE CAR COMPANY v. PENNSYLVANIA,liberal,5,3,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
141 U.S. 201,1890,Fuller,WINGARD v. UNITED STATES,conservative,6,3,60010,attorneys' and governmental employees' or officials' fees or compensation or licenses
141 U.S. 206,1890,Fuller,GORMAN v. HAVIRD,conservative,9,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
141 U.S. 209,1890,Fuller,CALDWELL v. TEXAS,conservative,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 212,1890,Fuller,UNITED STATES v. GRIFFITH,liberal,8,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 244,1890,Fuller,TUSKALOOSA NORTHERN RAILWAY COMPANY v. GUDE,conservative,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 249,1890,Fuller,WILLIAMS v. PASSUMPSIC SAVINGS BANK,conservative,9,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 250,1890,Fuller,UNION PACIFIC RAILWAY COMPANY v. BOTSFORD,liberal,7,2,50010,"privacy (cf. libel, comity: privacy)"
141 U.S. 36,1890,Fuller,PULLMAN'S PALACE CAR COMPANY v. HAYWARD,liberal,5,3,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
141 U.S. 40,1890,Fuller,MASSACHUSETTS v. WESTERN UNION TELEGRAPH COMPANY,liberal,7,2,80100,"state or local government tax
Note: those challenged on the basis of the supremacy clause and the 21st Amendment may also locate in national supremacy: intergovernmental tax immunity or national supremacy: state tax"
141 U.S. 47,1890,Fuller,CRUTCHER v. KENTUCKY,liberal,6,2,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
141 U.S. 62,1890,Fuller,VOIGHT v. WRIGHT,conservative,8,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
141 U.S. 67,1890,Fuller,STEIN v. BIENVILLE WATER SUPPLY COMPANY,liberal,8,0,80110,"state or local government regulation, especially of business (cf. federal pre-emption of state court jurisdiction, federal pre-emption of state legislation or regulation)"
141 U.S. 81,1890,Fuller,PARKER v. ORMSBY,liberal,9,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 87,1890,Fuller,CARPENTER v. STRANGE,liberal,9,0,90350,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from highest state court
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 325,1891,Fuller,in re GREEN,conservative,8,0,60030,"admission to a state or federal bar, disbarment, and attorney discipline (cf. loyalty oath: bar applicants)"
141 U.S. 327,1891,Fuller,MCNULTA v. LOCHRIDGE,conservative,7,0,90510,"Supreme Court's certiorari, writ of error, or appeals jurisdiction
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 332,1891,Fuller,MAGOWAN v. NEW YORK BELTING AND PACKING COMPANY,conservative,7,0,80180,patents and copyrights: patent
141 U.S. 344,1891,Fuller,GAGE v. BANI,liberal,9,0,40020,"due process: hearing or notice (other than as pertains to government employees or prisoners' rights)
Note: hearing may be statutorily based"
141 U.S. 358,1891,Fuller,"UNITED STATES v. MISSOURI, KANSAS & TEXAS RAILWAY COMPANY",liberal,9,0,80220,federal or state regulation of transportation regulation: railroad
141 U.S. 415,1891,Fuller,HICKMAN v. FORT SCOTT,conservative,7,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 419,1891,Fuller,MCCLAIN v. ORTMAYER,liberal,7,0,80180,patents and copyrights: patent
141 U.S. 441,1891,Fuller,CROSBY STEAM GAGE & VALVE COMPANY v. CONSOLIDATED SAFETY VALVE COMPANY,conservative,7,0,80180,patents and copyrights: patent
141 U.S. 459,1891,Fuller,MCCREARY v. PENNSYLVANIA CANAL COMPANY,liberal,7,0,80180,patents and copyrights: patent
141 U.S. 468,1891,Fuller,AMERICAN NET AND TWINE COMPANY v. WORTHINGTON,conservative,7,0,120020,"federal taxation of gifts, personal, business, or professional expenses"
141 U.S. 475,1891,Fuller,LEADVILLE COAL COMPANY v. MCCREERY,liberal,7,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 520,1891,Fuller,METROPOLITAN NATIONAL BANK v. CLAGGETT,liberal,6,0,100120,"national supremacy: miscellaneous
Note: in the context of federal-state conflicts involving the general welfare, supremacy, or interstate commerce clauses, the 11th or 21st Amendments, or the enforcement clause of the 14th Amendment. Distinguishable from federal pre-emption because of a constitutional basis for decision."
141 U.S. 528,1891,Fuller,CROSS v. ALLEN,liberal,7,0,90330,"judicial administration: jurisdiction or authority of federal courts of appeals
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 539,1891,Fuller,ADAMS v. BELLAIRE STAMPING COMPANY,liberal,9,0,80180,patents and copyrights: patent
141 U.S. 543,1891,Fuller,OLCOTT v. HEADRICK,conservative,9,0,90480,"judicial administration: untimely filing
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 548,1891,Fuller,ROGERS v. UNITED STATES,conservative,9,0,90340,"judicial administration: Supreme Court jurisdiction or authority on appeal or writ of error, from federal district courts or courts of appeals (cf. 753)
Note: jurisdiction of the federal courts or of the Supreme Court"
141 U.S. 557,1891,Fuller,RECTOR v. LIPSCOMB,conservative,7,0,90170,"no merits: dismissed or affirmed for want of jurisdiction (cf. judicial administration: Supreme Court jurisdiction or authority on appeal from federal district courts or courts of appeals)
Note: use only if the syllabus or the summary holding specifies one of the following bases."
141 U.S. 560,1891,Fuller,"PATENT CLOTHING COMPANY, LIMITED, v. GLOVER",liberal,7,0,80180,patents and copyrights: patent
